REF_DATE,GEO,Gender,Type_of_corporation,Country_of_control,Industry,Size_of_enterprise,Executive,Unit_of_measure,VALUE
2016,Canada,Femme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Number,5423
2016,Canada,Femme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Percentage,17.8
2016,Canada,Homme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Number,25063
2016,Canada,Homme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Percentage,82.2
2017,Canada,Femme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Number,5174
2017,Canada,Femme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Percentage,17.9
2017,Canada,Homme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Number,23798
2017,Canada,Homme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Percentage,82.1
2018,Canada,Femme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Number,4848
2018,Canada,Femme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Percentage,18.4
2018,Canada,Homme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Number,21568
2018,Canada,Homme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Percentage,81.6
2019,Canada,Femme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Number,3616
2019,Canada,Femme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Percentage,20.2
2019,Canada,Homme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Number,14274
2019,Canada,Homme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Percentage,79.8
2020,Canada,Femme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Number,3689
2020,Canada,Femme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Percentage,20.5
2020,Canada,Homme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Number,14307
2020,Canada,Homme,Total toutes les sociétés,Total tous les pays,Total toutes les industries,Total toutes les tailles,Directeurs/Directrices,Percentage,79.5
