Category,Earmarked.for.mothers,Earmarked.for.fathers,Shareable..most.often.taken.by.mothers.
Finlande,17.5,9,143.53
Republique slovak,34,28,102
Hongrie,24,1,136
Japon,58,52,0
Corée du Sud,64.85714286,54,0
Norwège,18,15,68
Lettonie,16,1.428571429,78
Estonie,14.28571429,4.285714286,67.85714286
Luxembourg,46,28,0
France,42,31,0
Austrie,24.666666,12.996666,35.333334
Tchéquie,28,2,40.62594537
Suède,12.85714286,14.28571429,42.85714286
Allemagne,22.6666,8.7,35.3334
Lituanie,18,4,44
Grèce,51.6666,11.4666,0
Moyenne OCDE,24.6,10.44178144,25.39687502
Slovénie,19.33,4.285714286,32.81
Canada,21,5,30
Pologne,20,2,32
Belgique,32.33333333,20.333,0
Portugal,23.28571429,22.28571429,6.854285714
Danemark,18,2,32
Islande,26,20,6
Italie,21.7,2,26
Royaume-Uni,39,2,0
Irelande,31,7,0
Espagne,16,16,0
Chili,30,1,0
Nouvelle-Zélande,26,0,0
Pays-bas,16,6,0
Colombie,18,2,0
Australie,12,2,6
Costa Rica,17.32,1.6,0
Turquie,16,1,0
Suisse,14,2,0
Israël,15,0,0
Mexique,12,1,0
États-Unis,0,0,0
